i,j,k,Alt_Si3N4,Anc_Si3N4,lambda,n_eff,A_eff,lambda_nm
2,6,3,0.5333333333333333,1.3333333333333333,1.0459183673469388,1.8510183906234288,5.234165701514265e-13,1045.9183673469388
2,6,4,0.6000000000000001,1.3333333333333333,1.0459183673469388,1.870540128183048,5.609280633817051e-13,1045.9183673469388
2,6,5,0.6666666666666667,1.3333333333333333,1.0459183673469388,1.885960217923867,6.0021827791625e-13,1045.9183673469388
2,6,6,0.7333333333333334,1.3333333333333333,1.0459183673469388,1.8981248889679527,6.400280729613531e-13,1045.9183673469388
2,6,7,0.8,1.3333333333333333,1.0459183673469388,1.9080738423551344,6.810297960829446e-13,1045.9183673469388
2,6,8,0.8666666666666667,1.3333333333333333,1.0459183673469388,1.9161974556939854,7.223351093237501e-13,1045.9183673469388
2,6,9,0.9333333333333333,1.3333333333333333,1.0459183673469388,1.9230082303054192,7.643992884458697e-13,1045.9183673469388
2,6,10,1.0,1.3333333333333333,1.0459183673469388,1.9286634641618874,8.063686261089605e-13,1045.9183673469388
2,7,1,0.4,1.5,1.0459183673469388,1.799631288168098,5.028642644102238e-13,1045.9183673469388
2,7,2,0.4666666666666667,1.5,1.0459183673469388,1.8333301691605468,5.378080636696686e-13,1045.9183673469388
2,7,3,0.5333333333333333,1.5,1.0459183673469388,1.8588593866564438,5.772044865251897e-13,1045.9183673469388
2,7,4,0.6000000000000001,1.5,1.0459183673469388,1.8783174717397673,6.188656158120933e-13,1045.9183673469388
2,7,5,0.6666666666666667,1.5,1.0459183673469388,1.8936794221025954,6.623639354214004e-13,1045.9183673469388
2,7,6,0.7333333333333334,1.5,1.0459183673469388,1.9058048024182235,7.065222015055554e-13,1045.9183673469388
2,7,7,0.8,1.5,1.0459183673469388,1.9157183645973974,7.519353241848389e-13,1045.9183673469388
2,7,8,0.8666666666666667,1.5,1.0459183673469388,1.9238092700373886,7.976083826394686e-13,1045.9183673469388
2,7,9,0.9333333333333333,1.5,1.0459183673469388,1.930597104011002,8.441945877391343e-13,1045.9183673469388
2,7,10,1.0,1.5,1.0459183673469388,1.9362313779394842,8.906335891666273e-13,1045.9183673469388
2,8,1,0.4,1.6666666666666665,1.0459183673469388,1.8053578363880465,5.495539436402232e-13,1045.9183673469388
2,8,2,0.4666666666666667,1.6666666666666665,1.0459183673469388,1.8389911967434156,5.88211007210557e-13,1045.9183673469388
2,8,3,0.5333333333333333,1.6666666666666665,1.0459183673469388,1.8644643099481946,6.316199501443724e-13,1045.9183673469388
2,8,4,0.6000000000000001,1.6666666666666665,1.0459183673469388,1.8838770917950485,6.77445277249118e-13,1045.9183673469388
2,8,5,0.6666666666666667,1.6666666666666665,1.0459183673469388,1.899203121102702,7.25257068621136e-13,1045.9183673469388
2,8,6,0.7333333333333334,1.6666666666666665,1.0459183673469388,1.9112985721316642,7.737538886993276e-13,1045.9183673469388
2,8,7,0.8,1.6666666666666665,1.0459183673469388,1.921187039410083,8.236070882354911e-13,1045.9183673469388
2,8,8,0.8666666666666667,1.6666666666666665,1.0459183673469388,1.9292578015540467,8.737390552985528e-13,1045.9183673469388
2,8,9,0.9333333333333333,1.6666666666666665,1.0459183673469388,1.9360280188862586,9.24853851956749e-13,1045.9183673469388
2,8,10,1.0,1.6666666666666665,1.0459183673469388,1.9416474879685575,9.75798561101472e-13,1045.9183673469388
2,9,1,0.4,1.8333333333333333,1.0459183673469388,1.8096219389018318,5.969000199639084e-13,1045.9183673469388
2,9,2,0.4666666666666667,1.8333333333333333,1.0459183673469388,1.843209688358245,6.393843633722392e-13,1045.9183673469388
2,9,3,0.5333333333333333,1.8333333333333333,1.0459183673469388,1.8686370778940824,6.867696633782516e-13,1045.9183673469388
2,9,4,0.6000000000000001,1.8333333333333333,1.0459183673469388,1.888015991458382,7.367960195430234e-13,1045.9183673469388
2,9,5,0.6666666666666667,1.8333333333333333,1.0459183673469388,1.9033172280474304,7.890176202934238e-13,1045.9183673469388
2,9,6,0.7333333333333334,1.8333333333333333,1.0459183673469388,1.915388848313266,8.418596159081521e-13,1045.9183673469388
2,9,7,0.8,1.8333333333333333,1.0459183673469388,1.9252587258463358,8.962000862797053e-13,1045.9183673469388
2,9,8,0.8666666666666667,1.8333333333333333,1.0459183673469388,1.9333156869332002,9.508772049706901e-13,1045.9183673469388
2,9,9,0.9333333333333333,1.8333333333333333,1.0459183673469388,1.9400719531186252,1.0065443022083553e-12,1045.9183673469388
2,9,10,1.0,1.8333333333333333,1.0459183673469388,1.9456804936919259,1.0620462785491666e-12,1045.9183673469388
2,10,1,0.4,2.0,1.0459183673469388,1.8129438915349274,6.457690903987709e-13,1045.9183673469388
2,10,2,0.4666666666666667,2.0,1.0459183673469388,1.84648125787896,6.918879139992481e-13,1045.9183673469388
2,10,3,0.5333333333333333,2.0,1.0459183673469388,1.8718750816355225,7.434184740760131e-13,1045.9183673469388
2,10,4,0.6000000000000001,2.0,1.0459183673469388,1.8912257618242447,7.977147896264026e-13,1045.9183673469388
2,10,5,0.6666666666666667,2.0,1.0459183673469388,1.9065019604254323,8.543004642495556e-13,1045.9183673469388
2,10,6,0.7333333333333334,2.0,1.0459183673469388,1.9185565208730642,9.116374250237118e-13,1045.9183673469388
2,10,7,0.8,2.0,1.0459183673469388,1.9284113754925034,9.705556744234973e-13,1045.9183673469388
2,10,8,0.8666666666666667,2.0,1.0459183673469388,1.9364546593216483,1.0297843071953953e-12,1045.9183673469388
2,10,9,0.9333333333333333,2.0,1.0459183673469388,1.9432012166235382,1.0901482674503437e-12,1045.9183673469388
2,10,10,1.0,2.0,1.0459183673469388,1.9488010279836523,1.1503035717691891e-12,1045.9183673469388
3,1,1,0.4,0.5,1.0568367346938774,1.5802250073550892,3.405169398645382e-13,1056.8367346938774
3,1,2,0.4666666666666667,0.5,1.0568367346938774,1.6130016450820999,3.481329551508071e-13,1056.8367346938774
3,1,3,0.5333333333333333,0.5,1.0568367346938774,1.6390540796579205,3.6379722304793725e-13,1056.8367346938774
3,1,4,0.6000000000000001,0.5,1.0568367346938774,1.659265175871671,3.8265046651408977e-13,1056.8367346938774
3,1,5,0.6666666666666667,0.5,1.0568367346938774,1.6753335584579452,4.034560938996199e-13,1056.8367346938774
3,1,6,0.7333333333333334,0.5,1.0568367346938774,1.6883322760298156,4.261275365206497e-13,1056.8367346938774
3,1,7,0.8,0.5,1.0568367346938774,1.6990111880117735,4.4983062182987526e-13,1056.8367346938774
